Hash: 3102770159582722313, From: 12, To: 28, Side: 0
Hash: 3111067988669786618, From: 4, To: 6, Side: 0
Hash: 3137251210446900146, From: 51, To: 43, Side: 0
Hash: 3137852543098464771, From: 1, To: 18, Side: 0
Hash: 3144659211229979550, From: 11, To: 27, Side: 0
Hash: 3169584734261724000, From: 12, To: 20, Side: 0
Hash: 3209313890210384663, From: 5, To: 14, Side: 0
Hash: 3224861635074479594, From: 11, To: 27, Side: 0
Hash: 3240076761080937166, From: 14, To: 22, Side: 0
Hash: 3284255722699763190, From: 52, To: 44, Side: 0
Hash: 3323819093298008261, From: 34, To: 27, Side: 0
Hash: 3424783419464887567, From: 11, To: 19, Side: 0
Hash: 3440772525611995070, From: 35, To: 26, Side: 0
Hash: 3535184075993535627, From: 28, To: 18, Side: 0
Hash: 3863406871708465931, From: 62, To: 45, Side: 0
Hash: 3896082639997301603, From: 1, To: 11, Side: 0
Hash: 4056747709961984694, From: 10, To: 18, Side: 0
Hash: 4102395867914371823, From: 55, To: 47, Side: 0
Hash: 4159886552193595619, From: 21, To: 36, Side: 0
Hash: 4174629037085670181, From: 44, To: 35, Side: 0
Hash: 4382240211714670666, From: 43, To: 35, Side: 0
Hash: 4422518186598687121, From: 59, To: 51, Side: 0
Hash: 4424346715199020438, From: 12, To: 20, Side: 0
Hash: 4501713531016446804, From: 9, To: 17, Side: 0
Hash: 4591602073214948358, From: 61, To: 43, Side: 0
Hash: 4643325815803666856, From: 35, To: 28, Side: 0
Hash: 4689693669349113950, From: 11, To: 27, Side: 0
Hash: 4724106023041499925, From: 50, To: 42, Side: 0
Hash: 4769419016126589829, From: 62, To: 45, Side: 0
Hash: 4844410055935775633, From: 52, To: 44, Side: 0
Hash: 4855165436045955816, From: 61, To: 34, Side: 0
Hash: 4858900455945393065, From: 49, To: 41, Side: 0
Hash: 4886242932584810808, From: 62, To: 45, Side: 0
Hash: 4893507854468933961, From: 28, To: 43, Side: 0
Hash: 4898156913934225283, From: 10, To: 26, Side: 0
Hash: 4904775564448209243, From: 52, To: 44, Side: 0
Hash: 4920900682759034914, From: 61, To: 25, Side: 0
Hash: 4924788168368767794, From: 50, To: 42, Side: 0
Hash: 4958828046552874394, From: 51, To: 35, Side: 0
Hash: 4965768477193153818, From: 61, To: 52, Side: 0
Hash: 4984220463953282326, From: 48, To: 40, Side: 0
Hash: 5005150026874997586, From: 62, To: 45, Side: 0
Hash: 5018292953374015361, From: 5, To: 14, Side: 0
Hash: 5018659689370378721, From: 34, To: 27, Side: 0
Hash: 5066272122989053332, From: 51, To: 43, Side: 0
Hash: 5070476374657982953, From: 51, To: 43, Side: 0
Hash: 5081099704338244567, From: 62, To: 45, Side: 0
Hash: 5105203151776652202, From: 27, To: 35, Side: 0
Hash: 5210314873784322283, From: 12, To: 28, Side: 0
Hash: 5221982488233255883, From: 61, To: 54, Side: 0
Hash: 5237342224458754474, From: 11, To: 27, Side: 0
Hash: 5242441692646071752, From: 4, To: 6, Side: 0
Hash: 5270931252165745639, From: 61, To: 54, Side: 0
Hash: 5274044336051623350, From: 51, To: 35, Side: 0
Hash: 5336802225932679516, From: 54, To: 45, Side: 0
Hash: 5340806471594588353, From: 58, To: 40, Side: 0
Hash: 5341711166043790800, From: 51, To: 35, Side: 0
Hash: 5349824684328422309, From: 57, To: 51, Side: 0
